# E0_std_1 E0_std_2 gamma_1 gamma_2 Ru E0_mean alpha Cdl k0 E0_mean_offset
1.173059987142511806e-01 1.199999999999999956e-01 3.561792847040577042e-10 3.146073974484374897e-10 4.328338267775732788e+02 -4.387910729805289956e-01 5.094030124357635803e-01 2.006167912008801268e-04 1.000000000000000000e+03 0.000000000000000000e+00
8.189168306300768918e-02 9.657271634754742429e-02 4.596445384636556692e-10 4.569311308026593720e-10 7.195661910907965648e+02 -4.230755258897059279e-01 4.000000000000000222e-01 2.088012275560552388e-04 1.494670402025877252e+02 3.467728735465223228e-02
8.803841312277782549e-02 5.696104271293979393e-02 3.416060718479779337e-10 3.287195431136384647e-10 3.512983460867703798e+02 -4.270716013046631510e-01 4.000000000000000222e-01 2.012624036898158541e-04 1.056914838684353555e+02 7.345978840448752489e-02
7.718334608322863222e-02 5.803642571557809937e-02 3.105008686285451025e-10 3.350907261190121055e-10 3.730688243644984823e+02 -4.297209407313837271e-01 4.355780160599757034e-01 2.045868427530064956e-04 1.242912884592402207e+02 6.697259812945259572e-02
8.130321886044782065e-02 6.293582581259930808e-02 2.870260030639355194e-10 3.676482572680770747e-10 3.553018305608757146e+02 -4.199977776494723258e-01 4.000000000000000222e-01 2.050309068349847968e-04 1.099302794020786109e+02 6.237723743932097747e-02
8.715554742414030609e-02 5.873318160753335931e-02 3.585750246464390517e-10 4.159084735264488182e-10 3.498519228509584877e+02 -4.256894773232094975e-01 4.000000000000000222e-01 2.128285897942550227e-04 1.215408098402308923e+02 6.787073666005795369e-02
7.486844940586061259e-02 5.965347248527716473e-02 3.406271032218077887e-10 3.184608769567360373e-10 3.713222890017496525e+02 -4.309168952404152653e-01 5.999999999999999778e-01 2.033956516308891541e-04 1.234738910504423473e+02 6.565010159790604649e-02
8.665471526521270618e-02 6.403731035160825646e-02 3.110720627892086340e-10 3.339213473259510416e-10 3.213081054499733682e+02 -4.243144823898705731e-01 4.000000000000000222e-01 2.131907250424585904e-04 1.283600584172982053e+02 4.958334689305998744e-02
8.734931759311424793e-02 4.935605354097399866e-02 3.049879829295049060e-10 3.681910061138800968e-10 3.830837873167100724e+02 -4.264530069061480688e-01 4.000000000000000222e-01 2.014657549232587083e-04 1.152725657538816648e+02 6.951956304917483731e-02
7.987900335959154108e-02 6.094067627840748375e-02 3.349466228289989033e-10 4.302247599838888447e-10 3.686793790907308903e+02 -4.241270228851415913e-01 4.000000000000000222e-01 2.150214500892882140e-04 1.403843739195211242e+02 6.254005364737347250e-02
8.320773003880981011e-02 5.332233058859404268e-02 3.059084960994484526e-10 3.399892366126274668e-10 3.776358269592833494e+02 -4.226229736782380342e-01 4.000000000000000222e-01 2.151955916221211685e-04 1.792039090182144037e+02 6.769983608084118032e-02
8.115656954290123570e-02 6.538896665856834545e-02 2.976090481094464253e-10 3.368382412676467039e-10 3.961190291014955278e+02 -4.233682152559583578e-01 4.945733127071563207e-01 2.020488133975525740e-04 1.737059480882047922e+02 7.049248271170824309e-02
7.743868669937521709e-02 5.912800056108320768e-02 3.315917676339931826e-10 3.583469419118405001e-10 3.855222000856534237e+02 -4.405646174534180171e-01 5.999999999999999778e-01 2.078300979630423216e-04 1.569096467241829203e+02 6.538273864823707093e-02
7.357441316722850011e-02 6.393880847911076470e-02 3.277587269739944330e-10 3.207543581849934632e-10 3.751054398463671760e+02 -4.234267102633136881e-01 4.000000000000000222e-01 2.210211088790192007e-04 1.585796451065860424e+02 7.699199147589114167e-02
7.926430174461544798e-02 5.900152617563914070e-02 3.580616019924708822e-10 4.534225087648863612e-10 3.661407602505730665e+02 -4.326833573591790660e-01 5.073700408110617399e-01 2.050003023306004102e-04 1.352610302931580577e+02 7.109631533462114350e-02
9.614461101626975426e-02 6.943307738972015475e-02 3.112765565960975616e-10 3.980826298773845004e-10 2.520331457616877344e+02 -4.238648415489875143e-01 4.000000000000000222e-01 2.107169137559730470e-04 1.267574495052252246e+02 1.529468636289072793e-02
8.908560233409761053e-02 8.243249601981619823e-02 3.223891715084595253e-10 5.227889196753343579e-10 3.880875345563788414e+02 -4.208078156157638583e-01 4.000000000000000222e-01 2.045588547338763165e-04 2.541429892916458755e+02 2.555572828421794757e-02
7.107288997425159627e-02 6.276568451032324414e-02 3.246228120788873948e-10 4.410452814554535564e-10 3.775753137301795732e+02 -4.312064596379401316e-01 4.150656333851958646e-01 2.173015833090898442e-04 2.437730562985445033e+02 5.917296027179936441e-02
